Game Name,ROM SIZE (bytes),ROM SIZE (Mb)
Langrisser Der (Japan),"2,097,152",16
Zakuro no Aji (Japan),"2,097,152",16
Langrisser Der (Japan) (Rev 1),"2,097,152",16
Battle Master - Kyuukyoku no Senshi-tachi (Japan),"2,097,152",16
Captain Tsubasa J - The Way to World Youth (Japan),"2,097,152",16
Captain Tsubasa V - Hasha no Shougou Campione (Japan),"2,097,152",16
Death and Return of Superman The (USA) (Rev 1),"2,097,152",16
Mask The (USA) (Beta),"2,097,152",16
Star Trek - The Next Generation - Future's Past (Europe),"2,097,152",16
Star Trek - The Next Generation - Future's Past (USA),"2,097,152",16
Death and Return of Superman The (Europe),"2,097,152",16
Stargate (Europe) (EnFrDe),"2,097,152",16
Stargate (Japan),"2,097,152",16
Stargate (USA) (Beta),"2,097,152",16
Stargate (USA),"2,097,152",16
Kyuuyaku Megami Tensei (Japan),"2,097,152",16
Yuujin Janjuu Gakuen 2 (Japan),"2,097,152",16
Mask The (USA),"2,097,152",16
Silva Saga II - The Legend of Light and Darkness (Japan),"2,097,152",16
Carrier Aces (Europe),"2,097,152",16
Carrier Aces (Japan) (En),"2,097,152",16
Phantom 2040 (Europe) (EnFrDe),"2,097,152",16
Carrier Aces (USA),"2,097,152",16
Stone Protectors (Japan),"2,097,152",16
Stone Protectors (USA),"2,097,152",16
Masters New - Harukanaru Augusta 3 (Japan) (Rev 1),"2,097,152",16
Masters New - Harukanaru Augusta 3 (Japan),"2,097,152",16
Phantom 2040 (USA) (Beta),"2,097,152",16
Yu Yu Hakusho 2 - Kakutou no Shou (Japan),"2,097,152",16
Street Fighter EX (World) (Unl) (Pirate),"2,097,152",16
Street Fighter II (Europe),"2,097,152",16
Street Fighter II (Japan),"2,097,152",16
Street Fighter II (USA) (Beta),"2,097,152",16
Street Fighter II (USA),"2,097,152",16
Yu Yu Hakusho - Tokubetsu Hen (Japan),"2,097,152",16
Yu Yu Hakusho (Japan),"2,097,152",16
Phantom 2040 (USA),"2,097,152",16
Picachu (World) (Unl) (Pirate),"2,097,152",16
Do-Re-Mi Fantasy - Milon no Dokidoki Daibouken (Japan),"2,097,152",16
Young Merlin (USA),"2,097,152",16
Young Merlin (Europe),"2,097,152",16
Pagemaster The (USA) (Beta 2),"2,097,152",16
Koushien 4 (Japan),"2,097,152",16
Matsukata Hiroki no Super Trawling (Japan),"2,097,152",16
Youchien Senki Madara (Japan),"2,097,152",16
Pagemaster The (USA) (Beta 1),"2,097,152",16
Street Sports - Jammit (USA),"2,097,152",16
Pagemaster The (Europe),"2,097,152",16
3 Ninjas Kick Back (USA),"2,097,152",16
Mega Man 7 (Europe),"2,097,152",16
3x3 Eyes - Juuma Houkan (Japan),"2,097,152",16
Mega Man 7 (USA),"2,097,152",16
Dolucky no Kusayakiu (Japan),"2,097,152",16
Mega Man X3 (Europe),"2,097,152",16
Bassin's Black Bass (USA),"2,097,152",16
Mega Man X3 (USA),"2,097,152",16
Sugoro Quest++ - Dicenics (Japan),"2,097,152",16
Pikiinya! (Japan) (Beta),"2,097,152",16
Pikiinya! (Japan),"2,097,152",16
Kishin Douji Zenki - Tenchi Meidou (Japan),"2,097,152",16
Bass Masters Classic - Pro Edition (USA),"2,097,152",16
Kishin Douji Zenki - Denei Raibu (Japan),"2,097,152",16
Yamaneko Bubsy no Daibouken (Japan),"2,097,152",16
Kishin Douji Zenki - Battle Raiden (Japan),"2,097,152",16
Yakouchuu (Japan),"2,097,152",16
XBAND (Japan),"2,097,152",16
Kirby no Kirakira Kids (Japan),"2,097,152",16
X-Men vs. Street Fighter (World) (Unl) (Pirate),"2,097,152",16
Shin Nihon Pro Wrestling - Chou Senshi in Tokyo Dome - Fantastic Story (Japan),"2,097,152",16
Bass Masters Classic - Pro Edition (Europe),"2,097,152",16
Shin Nekketsu Kouha - Kunio-tachi no Banka (Japan),"2,097,152",16
Shin Momotarou Densetsu (Japan),"2,097,152",16
X-Men - Mutant Apocalypse (USA),"2,097,152",16
Shin Momotarou Densetsu (Japan) (Rev 1),"2,097,152",16
Kingyo Chuuihou! - Tobidase! Game Gakuen (Japan),"2,097,152",16
Shin Megami Tensei if... (Japan),"2,097,152",16
Shin Megami Tensei if... (Japan) (Rev 1),"2,097,152",16
Shin Megami Tensei II (Japan),"2,097,152",16
Shin Megami Tensei II (Japan) (Rev 2),"2,097,152",16
King of the Monsters 2 - The Next Thing (Japan),"2,097,152",16
King of the Monsters 2 (USA),"2,097,152",16
Shin Megami Tensei II (Japan) (Rev 1),"2,097,152",16
X-Men - Mutant Apocalypse (Japan),"2,097,152",16
X-Men - Mutant Apocalypse (Europe),"2,097,152",16
Super Bases Loaded 3 - License to Steal (USA),"2,097,152",16
King of Dragons The (Japan),"2,097,152",16
Shin Kidou Senki Gundam W - Endless Duel (Japan),"2,097,152",16
King of Dragons (USA),"2,097,152",16
King of Dragons (Europe),"2,097,152",16
Super Battletank 2 (Europe),"2,097,152",16
Super Battletank 2 (Japan),"2,097,152",16
Super Battletank 2 (Spain),"2,097,152",16
Super Battletank 2 (USA),"2,097,152",16
PGA Tour 96 (USA),"2,097,152",16
Castlevania - Dracula X (USA),"2,097,152",16
Castlevania - Vampire's Kiss (Europe),"2,097,152",16
Wrecking Crew '98 (Japan),"2,097,152",16
Worms (Europe),"2,097,152",16
90 Minutes - European Prime Goal (Europe) (Beta),"2,097,152",16
Super Black Bass 2 (Japan),"2,097,152",16
90 Minutes - European Prime Goal (Europe),"2,097,152",16
World Masters Golf (Europe),"2,097,152",16
Doom (Europe),"2,097,152",16
Doom (Japan) (En),"2,097,152",16
Metal Combat - Falcon's Revenge (Europe),"2,097,152",16
World Heroes (USA),"2,097,152",16
Metal Combat - Falcon's Revenge (USA),"2,097,152",16
Shien's Revenge (USA),"2,097,152",16
Super Bomber Man 4 (Japan),"2,097,152",16
Super Bomber Man 5 (Japan) (Caravan Event Ban),"2,097,152",16
Super Bomber Man 5 (Japan),"2,097,152",16
Shien's Revenge (USA) (Beta),"2,097,152",16
Shien - The Blade Chaser (Japan),"2,097,152",16
World Heroes (Japan),"2,097,152",16
Shaq-Fu (USA),"2,097,152",16
Shaq-Fu (Europe),"2,097,152",16
Shaq Fu (USA) (Beta),"2,097,152",16
Bakukyuu Renpatsu!! Super B-Daman (Japan),"2,097,152",16
World Heroes (Europe),"2,097,152",16
PGA Tour 96 (USA) (Rev 1),"2,097,152",16
Kidou Butouden G Gundam (Japan),"2,097,152",16
PGA Tour 96 (Europe),"2,097,152",16
Metal Warriors (USA),"2,097,152",16
Doom (USA),"2,097,152",16
Ken Griffey Jr. Presents Major League Baseball (USA),"2,097,152",16
Ken Griffey Jr. Presents Major League Baseball (USA) (Rev 1),"2,097,152",16
Doom Troopers - Mutant Chronicles (USA),"2,097,152",16
Atlas The - Renaissance Voyager (Japan),"2,097,152",16
Atlas The - Renaissance Voyager (Japan) (Rev 1) (NP),"2,097,152",16
Mickey Mania (Europe),"2,097,152",16
Mickey Mania - The Timeless Adventures of Mickey Mouse (Japan),"2,097,152",16
Dead Dance (Japan),"2,097,152",16
Kashiwagi Shigetaka no Top Water Bassing (Japan),"2,097,152",16
Mickey Mania - The Timeless Adventures of Mickey Mouse (USA),"2,097,152",16
Super Chinese Fighter (Japan),"2,097,152",16
Daze Before Christmas (Europe),"2,097,152",16
Super Chinese World 2 - Uchuuichi Butou Taikai (Japan) (Beta),"2,097,152",16
Super Chinese World 2 - Uchuuichi Butou Taikai (Japan) (Sample),"2,097,152",16
Super Chinese World 2 - Uchuuichi Butou Taikai (Japan),"2,097,152",16
Shadow The (USA) (Proto 2),"2,097,152",16
Shadow The (USA) (Proto 1),"2,097,152",16
Mickey to Donald - Magical Adventure 3 (Japan),"2,097,152",16
Sengoku no Hasha - Tenkafubu e no Michi (Japan),"2,097,152",16
Double Dragon V - The Shadow Falls (Europe),"2,097,152",16
Chibi Maruko-chan - Mezase! Minami no Island!! (Japan) (Sample),"2,097,152",16
Chibi Maruko-chan - Mezase! Minami no Island!! (Japan),"2,097,152",16
Chou Aniki - Bakuretsu Rantou Hen (Japan),"2,097,152",16
AIII S.V. - A Ressha de Ikou 3 - Super Version (Japan),"2,097,152",16
Super Dogfight (Japan),"2,097,152",16
Wondrous Magic (Japan),"2,097,152",16
Wolverine - Adamantium Rage (USA),"2,097,152",16
Wolverine - Adamantium Rage (USA) (Beta 2),"2,097,152",16
Wolverine - Adamantium Rage (USA) (Beta 1),"2,097,152",16
Wolverine - Adamantium Rage (Europe),"2,097,152",16
Wolverine (Japan) (En),"2,097,152",16
Down the World - Mervil's Ambition (Japan) (Sample),"2,097,152",16
Down the World - Mervil's Ambition (Japan),"2,097,152",16
Dragon - The Bruce Lee Story (Europe),"2,097,152",16
Seiken Densetsu 2 (Japan),"2,097,152",16
Dragon - The Bruce Lee Story (USA),"2,097,152",16
Super Drakkhen (Japan),"2,097,152",16
Super Drift Out - World Rally Championships (Japan) (En),"2,097,152",16
Jurassic Park Part 2 - The Chaos Continues (USA) (EnFrDeIt),"2,097,152",16
Jurassic Park Part 2 - The Chaos Continues (Europe) (EnFrDeIt),"2,097,152",16
Jurassic Park II - The Chaos Continues (USA) (EnFrDeIt) (Beta),"2,097,152",16
Jurassic Park (USA),"2,097,152",16
Dragon Ball Z - Chomutujeon (Korea),"2,097,152",16
Super F1 Circus 3 (Japan),"2,097,152",16
Seifuku Densetsu Pretty Fighter (Japan),"2,097,152",16
Jurassic Park (USA) (Rev 1),"2,097,152",16
Jurassic Park (Spain),"2,097,152",16
Super Famicom Wars (Japan) (NP),"2,097,152",16
Jurassic Park (Japan),"2,097,152",16
Super Family Gelaende (Japan) (NP),"2,097,152",16
Jurassic Park (Italy),"2,097,152",16
Jurassic Park (Germany),"2,097,152",16
Jurassic Park (France),"2,097,152",16
Jurassic Park (Europe),"2,097,152",16
Super Famista 4 (Japan) (Rev 1),"2,097,152",16
Super Famista 4 (Japan),"2,097,152",16
Wizap! - Ankoku no Ou (Japan),"2,097,152",16
Jurassic Park (Europe) (Beta),"2,097,152",16
Secret of Mana (USA),"2,097,152",16
Wizap! - Ankoku no Ou (Japan) (Beta),"2,097,152",16
Jungle Strike - Uketsugareta Kyouki (Japan),"2,097,152",16
Jungle Strike (USA),"2,097,152",16
Secret of Mana (Germany),"2,097,152",16
Secret of Mana (France),"2,097,152",16
Secret of Mana (France) (Rev 1),"2,097,152",16
Secret of Mana (Europe),"2,097,152",16
Winter Olympic Games - Lillehammer '94 (USA) (EnFrDeEsItPtSvNo),"2,097,152",16
Winter Olympic Games - Lillehammer '94 (Europe) (EnFrDeEsItPtSvNo),"2,097,152",16
Winter Gold (Europe),"2,097,152",16
Winning Post (Japan),"2,097,152",16
Secret of Mana (Europe) (Rev 1),"2,097,152",16
Jungle Strike (Europe),"2,097,152",16
Jungle Book The (USA),"2,097,152",16
Jungle Book The (USA) (Beta),"2,097,152",16
Winning Post (Japan) (Rev 1),"2,097,152",16
Aaahh!!! Real Monsters (Europe),"2,097,152",16
Aaahh!!! Real Monsters (USA),"2,097,152",16
Jungle Book The (Japan) (En),"2,097,152",16
Jungle Book The (Europe),"2,097,152",16
Art of Fighting (USA),"2,097,152",16
Art of Fighting (Europe),"2,097,152",16
Aretha II - Ariel no Fushigi na Tabi (Japan),"2,097,152",16
Aretha II - Ariel no Fushigi na Tabi (Japan) (Beta 2),"2,097,152",16
Aretha II - Ariel no Fushigi na Tabi (Japan) (Beta 1),"2,097,152",16
Dragon Ball Z - La Legende Saien (France),"2,097,152",16
Dragon Ball Z - Super Butouden (France),"2,097,152",16
Jumpin' Derby (Japan),"2,097,152",16
Judge Dredd (USA),"2,097,152",16
SeaQuest DSV (USA),"2,097,152",16
Aretha (Japan),"2,097,152",16
SeaQuest DSV (Europe),"2,097,152",16
Aretha (Japan) (Rev 1) (NP),"2,097,152",16
Judge Dredd (Japan) (En),"2,097,152",16
Scooby-Doo Mystery (USA),"2,097,152",16
Dragon Ball Z - Super Butouden (Japan),"2,097,152",16
Dragon Ball Z - Super Butouden 2 (Japan) (Rev 1),"2,097,152",16
Dragon Ball Z - Super Butouden 2 (Japan),"2,097,152",16
Judge Dredd (Europe),"2,097,152",16
Dragon Ball Z - Super Butouden 3 (Japan),"2,097,152",16
Dragon Ball Z - Super Gokuu Den - Kakusei Hen (Japan),"2,097,152",16
Accele Brid (Japan),"2,097,152",16
Dragon Ball Z - Super Gokuu Den - Totsugeki Hen (Japan),"2,097,152",16
Dragon Ball Z - Ultime Menace (France),"2,097,152",16
Dragon View (USA),"2,097,152",16
Dark Kingdom (Japan) (Beta),"2,097,152",16
Pitfall - Maya no Daibouken (Japan) (En),"2,097,152",16
Mighty Morphin Power Rangers (Japan) (En),"2,097,152",16
Jim Lee's WildC.A.T.S - Covert-Action-Teams (USA),"2,097,152",16
Pitfall - The Mayan Adventure (Europe),"2,097,152",16
Pitfall - The Mayan Adventure (USA) (Beta),"2,097,152",16
Mighty Morphin Power Rangers (USA),"2,097,152",16
Dun Quest - Majin Fuuin no Densetsu (Japan),"2,097,152",16
Jikkyou World Soccer - Perfect Eleven (Japan),"2,097,152",16
Jikkyou World Soccer - Perfect Eleven (Japan) (Rev 1),"2,097,152",16
Pitfall - The Mayan Adventure (USA),"2,097,152",16
Dekitate High School (Japan),"2,097,152",16
ESPN Baseball Tonight (Europe),"2,097,152",16
ESPN Baseball Tonight (USA) (Beta),"2,097,152",16
Brett Hull Hockey (Europe),"2,097,152",16
SWAT Kats - The Radical Squadron (USA),"2,097,152",16
Brett Hull Hockey (USA),"2,097,152",16
Mini Yonku Let's & Go!! - Power WGP 2 (Japan),"2,097,152",16
Super Jinsei Game 3 (Japan) (Rev 1),"2,097,152",16
Super Jinsei Game 3 (Japan),"2,097,152",16
Waterworld (Europe),"2,097,152",16
ESPN Baseball Tonight (USA),"2,097,152",16
Mohawk & Headphone Jack (Europe),"2,097,152",16
ESPN National Hockey Night (USA),"2,097,152",16
Mohawk & Headphone Jack (USA),"2,097,152",16
Warlock (USA),"2,097,152",16
Warlock (USA) (Beta 2),"2,097,152",16
Warlock (USA) (Beta 1),"2,097,152",16
Warlock (Japan) (En),"2,097,152",16
Warlock (Europe),"2,097,152",16
SD Hiryuu no Ken (Japan),"2,097,152",16
Monster Maker III - Hikari no Majutsushi (Japan),"2,097,152",16
ESPN Speedworld (USA) (Beta),"2,097,152",16
Jikkyou Powerful Pro Yakyuu '94 (Japan),"2,097,152",16
Mortal Kombat (Europe) (Beta),"2,097,152",16
ESPN Speedworld (USA),"2,097,152",16
ESPN Sunday Night NFL (USA),"2,097,152",16
War 2410 (USA),"2,097,152",16
Brett Hull Hockey 95 (USA),"2,097,152",16
WWF Royal Rumble (USA),"2,097,152",16
Appleseed - Prometheus no Shintaku (Japan),"2,097,152",16
Mortal Kombat (Europe) (Rev 1),"2,097,152",16
Mortal Kombat (Europe),"2,097,152",16
WWF Royal Rumble (Japan) (En),"2,097,152",16
Circuit USA (Japan),"2,097,152",16
Super Mario - Yossy Island (Japan) (Rev 1),"2,097,152",16
Super Mario - Yossy Island (Japan) (Rev 2),"2,097,152",16
Super Mario - Yossy Island (Japan),"2,097,152",16
Super Mario All-Stars (Europe),"2,097,152",16
Super Mario All-Stars (USA),"2,097,152",16
WWF Royal Rumble (Europe),"2,097,152",16
WWF Royal Rumble (Europe) (Rev 1),"2,097,152",16
Super Mario Collection (Japan) (Rev 1),"2,097,152",16
Super Mario Collection (Japan),"2,097,152",16
Mortal Kombat (USA),"2,097,152",16
Classic Road II (Japan),"2,097,152",16
Animal Buranden - Brutal (Japan),"2,097,152",16
Operation Starfi5h (Europe),"2,097,152",16
Oomono Black Bass Fishing - Jinzouko Hen (Japan),"2,097,152",16
Pokemon Stadium (World) (Unl) (Pirate),"2,097,152",16
Angelique (Japan),"2,097,152",16
Angelique (Japan) (Premium Box),"2,097,152",16
Clay Fighter (Europe),"2,097,152",16
JWP Joshi Pro Wres - Pure Wrestle Queens (Japan),"2,097,152",16
Super Mario World 2 - Yoshi's Island (Europe) (EnFrDe) (Rev 1),"2,097,152",16
Super Mario World 2 - Yoshi's Island (Europe) (EnFrDe),"2,097,152",16
Super Mario World 2 - Yoshi's Island (USA) (Rev 1),"2,097,152",16
Super Mario World 2 - Yoshi's Island (USA),"2,097,152",16
Olympic Summer Games (USA),"2,097,152",16
Elfaria II - The Quest of the Meld (Japan),"2,097,152",16
SD F-1 Grand Prix (Japan),"2,097,152",16
Super Momotarou Dentetsu DX (Japan) (JR Nishi-Nihon Presents),"2,097,152",16
Super Momotarou Dentetsu DX (Japan),"2,097,152",16
Olympic Summer Games (Europe),"2,097,152",16
SD F-1 Grand Prix (Japan) (Sample),"2,097,152",16
J.League Super Soccer '95 - Jikkyou Stadium (Japan),"2,097,152",16
J.League Soccer Prime Goal 3 (Japan),"2,097,152",16
Mortal Kombat - Shinken Kourin Densetsu (Japan) (En),"2,097,152",16
J.League Excite Stage '96 (Japan),"2,097,152",16
J.League Excite Stage '96 (Japan) (Rev 1),"2,097,152",16
Virtual Bart (USA),"2,097,152",16
Ryuuko no Ken (Japan),"2,097,152",16
Super Nichibutsu Mahjong 2 - Zenkoku Seiha Hen (Japan),"2,097,152",16
Super Nichibutsu Mahjong 3 - Yoshimoto Gekijou Hen (Japan),"2,097,152",16
Ryuuko no Ken (Japan) (Rev 1),"2,097,152",16
Virtual Bart (USA) (Beta),"2,097,152",16
Rushing Beat Shura (Japan),"2,097,152",16
Virtual Bart (Japan) (En),"2,097,152",16
Izzy's Quest for the Olympic Rings (USA),"2,097,152",16
Izzy's Quest for the Olympic Rings (USA) (Beta),"2,097,152",16
Izzy's Quest for the Olympic Rings (Europe),"2,097,152",16
Virtual Bart (Europe),"2,097,152",16
Emerald Dragon (Japan),"2,097,152",16
Brunswick World Tournament of Champions (USA),"2,097,152",16
Brutal - Paws of Fury (Europe) (EnFrDe),"2,097,152",16
Isozuri - Ritou Hen (Japan),"2,097,152",16
Brutal - Paws of Fury (USA) (Beta),"2,097,152",16
International Superstar Soccer Deluxe (USA),"2,097,152",16
International Superstar Soccer Deluxe (Europe),"2,097,152",16
Clay Fighter (USA),"2,097,152",16
Indiana Jones' Greatest Adventures (USA),"2,097,152",16
Indiana Jones' Greatest Adventures (Japan),"2,097,152",16
Indiana Jones' Greatest Adventures (Europe),"2,097,152",16
Incredible Hulk The (USA),"2,097,152",16
Incredible Hulk The (Europe),"2,097,152",16
Addams Family Values (Europe) (EnFrDe),"2,097,152",16
Nosferatu (USA),"2,097,152",16
Illvanian no Shiro (Japan),"2,097,152",16
Illusion of Time (Spain),"2,097,152",16
Urban Strike (USA),"2,097,152",16
Illusion of Time (Germany),"2,097,152",16
Urban Strike (Europe),"2,097,152",16
Super Power League 2 (Japan) (Rev 1),"2,097,152",16
Super Power League 2 (Japan),"2,097,152",16
Exertainment Mountain Bike Rally (USA),"2,097,152",16
Super Power League 4 (Japan),"2,097,152",16
Illusion of Time (Germany) (Rev 1),"2,097,152",16
Illusion of Time (France),"2,097,152",16
Illusion of Time (Europe),"2,097,152",16
Illusion of Gaia (USA),"2,097,152",16
Super Punch-Out!! (Europe),"2,097,152",16
Super Punch-Out!! (Japan) (NP),"2,097,152",16
Super Punch-Out!! (USA),"2,097,152",16
Illusion of Gaia (USA) (Beta),"2,097,152",16
Idea no Hi (Japan),"2,097,152",16
Unirally (Europe),"2,097,152",16
Uniracers (USA),"2,097,152",16
Undercover Cops (Japan),"2,097,152",16
Human Grand Prix IV - F1 Dream Battle (Japan) (En),"2,097,152",16
Super Puyo Puyo Tsuu (Japan),"2,097,152",16
Super Puyo Puyo Tsuu Remix (Japan),"2,097,152",16
Human Grand Prix III - F1 Triple Battle (Japan) (En),"2,097,152",16
Hourai Gakuen no Bouken! - Tenkousei Scramble (Japan),"2,097,152",16
Addams Family Values (USA) (EnFrDe),"2,097,152",16
Nosferatu (Japan),"2,097,152",16
Super Real Mahjong PIV (Japan),"2,097,152",16
Romancing Sa-Ga 2 (Japan),"2,097,152",16
F-1 Grand Prix - Part III (Japan),"2,097,152",16
F1 World Championship Edition (Europe),"2,097,152",16
Umi no Nushi Tsuri (Japan),"2,097,152",16
Umi no Nushi Tsuri (Japan) (Rev 1),"2,097,152",16
FIFA - A Caminho Da Copa 98 (Brazil) (EnFrDeEsItSv),"2,097,152",16
FIFA - Road to World Cup 98 (Europe) (EnFrDeEsItSv),"2,097,152",16
FIFA 97 (Europe) (EnFrDeEsItSv),"2,097,152",16
Brutal - Paws of Fury (USA),"2,097,152",16
Bokujou Monogatari (Japan),"2,097,152",16
Bubsy II (Europe),"2,097,152",16
College Football USA 97 (USA),"2,097,152",16
Bubsy II (USA),"2,097,152",16
Porky Pig's Haunted Holiday (Europe),"2,097,152",16
Magical Drop 2 (Japan) (Bunka Housou Special Version),"2,097,152",16
Porky Pig's Haunted Holiday (USA) (Beta),"2,097,152",16
Porky Pig's Haunted Holiday (USA),"2,097,152",16
Daikoukai Jidai II (Japan),"2,097,152",16
Farland Story (Japan),"2,097,152",16
Rockman X3 (Japan),"2,097,152",16
Nobunaga no Yabou - Haouden (Japan),"2,097,152",16
Hissatsu Pachinko Collection 4 (Japan),"2,097,152",16
Hissatsu Pachinko Collection 3 (Japan),"2,097,152",16
Hissatsu Pachinko Collection 2 (Japan),"2,097,152",16
Rockman X3 (Japan) (Beta),"2,097,152",16
Rockman 7 - Shukumei no Taiketsu! (Japan),"2,097,152",16
Albert Odyssey 2 - Jashin no Taidou (Japan),"2,097,152",16
Rockman 7 - Shukumei no Taiketsu! (Japan) (Sample),"2,097,152",16
Fever Pitch Soccer (Europe) (Beta),"2,097,152",16
Fever Pitch Soccer (Europe) (EnFrDeEsIt),"2,097,152",16
Turn and Burn - No-Fly Zone (USA),"2,097,152",16
Mujintou Monogatari (Japan),"2,097,152",16
Heracles no Eikou IV - Kamigami kara no Okurimono (Japan),"2,097,152",16
Turn and Burn - No-Fly Zone (Spain),"2,097,152",16
Turn and Burn - No-Fly Zone (Europe),"2,097,152",16
Turf Memories (Japan),"2,097,152",16
Turf Hero (Japan),"2,097,152",16
Super Star Wars - Jedi no Fukushuu (Japan),"2,097,152",16
Super Star Wars - Return of the Jedi (Europe) (Rev 1),"2,097,152",16
Super Star Wars - Return of the Jedi (Europe),"2,097,152",16
Super Star Wars - Return of the Jedi (USA) (Rev 1),"2,097,152",16
Super Star Wars - Return of the Jedi (USA),"2,097,152",16
NBA Give 'n Go (Europe),"2,097,152",16
NBA Give 'n Go (USA),"2,097,152",16
Tuff E Nuff (USA),"2,097,152",16
Tuff E Nuff (Europe),"2,097,152",16
NBA Jam (Europe) (Rev 1),"2,097,152",16
NBA Jam (Europe),"2,097,152",16
True Lies (USA),"2,097,152",16
True Lies (USA) (Beta),"2,097,152",16
True Lies (Japan) (En),"2,097,152",16
True Lies (Germany) (En),"2,097,152",16
True Lies (Europe),"2,097,152",16
NBA Jam (Japan) (En),"2,097,152",16
NBA Jam (USA) (Beta),"2,097,152",16
NBA Jam (USA) (Rev 1),"2,097,152",16
NBA Jam (USA),"2,097,152",16
Final Fantasy V (Japan),"2,097,152",16
Nobunaga no Yabou - Haouden (Japan) (Rev 1),"2,097,152",16
No Escape (USA),"2,097,152",16
Nishijin Pachinko Monogatari 2 (Japan),"2,097,152",16
Head-On Soccer (USA),"2,097,152",16
Adventures of Batman & Robin The (Europe),"2,097,152",16
Harvest Moon (USA),"2,097,152",16
Harvest Moon (Germany),"2,097,152",16
Harvest Moon (Europe),"2,097,152",16
Akumajou Dracula XX (Japan),"2,097,152",16
HardBall III (USA),"2,097,152",16
Trinea (Japan),"2,097,152",16
Power Rangers (Europe),"2,097,152",16
Tower Dream (Japan),"2,097,152",16
Bubsy in - Claws Encounters of the Furred Kind (Europe) (Accolade),"2,097,152",16
Bokujou Monogatari (Japan) (Rev 1),"2,097,152",16
Revolution X (USA),"2,097,152",16
Super Turrican 2 (Europe),"2,097,152",16
Revolution X (Japan),"2,097,152",16
Super Turrican 2 (USA) (Beta 2),"2,097,152",16
Super Turrican 2 (USA),"2,097,152",16
Revolution X (Germany),"2,097,152",16
Revolution X (Europe),"2,097,152",16
Hana no Keiji - Kumo no Kanata ni (Japan),"2,097,152",16
Hammer Lock Wrestling (USA),"2,097,152",16
Blue Crystalrod The (Japan),"2,097,152",16
Adventures of Batman & Robin The (USA),"2,097,152",16
Hagane - The Final Conflict (USA),"2,097,152",16
Nigel Mansell IndyCar (Japan) (En),"2,097,152",16
Hagane - The Final Conflict (Europe),"2,097,152",16
Hagane (Japan),"2,097,152",16
Hagane (Japan) (Beta),"2,097,152",16
Cutthroat Island (Europe),"2,097,152",16
Cutthroat Island (USA),"2,097,152",16
Rendering Ranger R2 (Japan) (En),"2,097,152",16
Relief Pitcher (USA),"2,097,152",16
Relief Pitcher (USA) (Beta),"2,097,152",16
Rejoice - Aretha Oukoku no Kanata (Japan),"2,097,152",16
NBA Live 97 (Europe),"2,097,152",16
NBA Live 97 (USA),"2,097,152",16
Fire Pro Joshi - All Star Dream Slam (Japan),"2,097,152",16
NBA Live 98 (USA),"2,097,152",16
Rap Jam - Volume One (USA) (EnFrEs),"2,097,152",16
Fireteam Rogue (USA) (Proto 1),"2,097,152",16
Fireteam Rogue (USA) (Proto 2),"2,097,152",16
Daibakushou Jinsei Gekijou - Zukkoke Salaryman Hen (Japan),"2,097,152",16
Sword World SFC 2 - Inishie no Kyojin Densetsu (Japan) (Rev 1),"2,097,152",16
Sword World SFC 2 - Inishie no Kyojin Densetsu (Japan),"2,097,152",16
Granhistoria - Genshi Sekaiki (Japan),"2,097,152",16
Granhistoria - Genshi Sekaiki (Japan) (Sample),"2,097,152",16
Granhistoria - Genshi Sekaiki (Japan) (Rev 1),"2,097,152",16
Cyber Knight II - Chikyuu Teikoku no Yabou (Japan),"2,097,152",16
Gourmet Sentai Barayarou (Japan),"2,097,152",16
Daibakushou Jinsei Gekijou - Zukkoke Salaryman Hen (Japan) (Rev 1) (NP),"2,097,152",16
Gokujou Parodius (Japan),"2,097,152",16
Gokujou Parodius (Japan) (Sample),"2,097,152",16
Gokujou Parodius (Japan) (Beta),"2,097,152",16
Fishing Koushien (Japan),"2,097,152",16
Flashback (Europe) (EnFr),"2,097,152",16
Go Go Ackman 3 (Japan),"2,097,152",16
Flashback (Europe) (EnFrDe),"2,097,152",16
Aero the Acro-Bat 2 (USA),"2,097,152",16
Aero the Acro-Bat 2 (Europe),"2,097,152",16
Flashback (Japan),"2,097,152",16
Flashback - The Quest for Identity (USA) (EnFrDe),"2,097,152",16
Flintstones The (Europe) (EnFrDeEsIt) (Beta),"2,097,152",16
Flintstones The (Europe) (EnFrDeEsIt),"2,097,152",16
Flintstones The (USA) (EnFrDeEsIt),"2,097,152",16
Frantic Flea (Europe) (Beta),"2,097,152",16
Tadaima Yuusha Boshuuchuu Okawari (Japan),"2,097,152",16
Ginga Sengoku Gunyuuden Rai (Japan),"2,097,152",16
Tintin - Prisoners of the Sun (Europe) (EnFrDeEs),"2,097,152",16
Tin Star (USA),"2,097,152",16
RPG Tsukuru 2 (Japan),"2,097,152",16
Ghost Chaser Densei (Japan),"2,097,152",16
Nichibutsu Collection 1 (Japan),"2,097,152",16
R-Type III - The Third Lightning (Japan) (En),"2,097,152",16
Genocide 2 (Japan),"2,097,152",16
R-Type III - The Third Lightning (Europe) (Beta),"2,097,152",16
Bubsy in - Claws Encounters of the Furred Kind (Europe),"2,097,152",16
Timecop (USA),"2,097,152",16
Timecop (Japan),"2,097,152",16
R-Type III (USA),"2,097,152",16
Timecop (Europe),"2,097,152",16
R-Type III (Europe),"2,097,152",16
Bishin Densetsu Zoku (Japan),"2,097,152",16
