Investment Name,Symbol,Shares,Share Price,Total Value
ENERGY FUELS INC,UUUU,1.0,17.61,17.61
ENLIVEN THERAPEUTICS INC,ELVN,1.0,38.83,38.83
ENLIVEX LTD,ENLV,50.0,1.05,52.5
ENTERA BIO LTD,ENTX,25.0,1.13,28.249999999999996
EOS ENERGY ENTERPRISES INC CL A,EOSE,25.0,4.86,121.50000000000001
EQUINOR ASA SPON ADR,EQNR,9.122,41.53,378.83666
EQUIPMENTSHARE.COM INC CL A,EQPT,1.0,20.05,20.05
ERIE INDEMNITY CO CL A,ERIE,1.013,240.87,244.00131
ERMENEGILDO ZEGNA N V,ZGN,26.0,9.76,253.76
ESQUIRE FINANCIAL HOLDINGS INC,ESQ,1.0,106.52,106.52
ESTABLISHMENT LABS HOLDINGS INC,ESTA,2.0,55.31,110.62
ESTEE LAUDER CO INC,EL,11.543000000000001,67.23,776.0358900000001
ETHOS TECHNOLOGIES INC CL A,LIFE,1.0,10.13,10.13
ETSY INC,ETSY,3.0,47.31,141.93
EVGO INC CL A,EVGO,40.0,1.72,68.8
EVOLUTION METALS & TECHNOLOGIES CORP,EMAT,3.0,6.83,20.490000000000002
EXXON MOBIL CORP,XOM,1.0,170.99,170.99
FAIR ISAAC CORP,FICO,1.0,1011.06,1011.06
FASTENAL CO,FAST,2.005,44.95,90.12475
FATE THERAPEUTICS INC,FATE,30.0,1.17,35.099999999999994
FEDEX CORP,FDX,2.034,343.97,699.63498
FERMI INC,FRMI,25.0,6.18,154.5
FERRARI NV,RACE,2.0,317.4,634.8
FIFTH DIST BANCORP INC,FDSB,1.0,14.87,14.87
FIREFLY AEROSPACE INC,FLY,5.0,23.705,118.52499999999999
FIRST AMERICAN FINANCIAL CORP,FAF,2.016,58.47,117.87552
FIRST NORTHWEST BANCORP,FNWB,2.0,8.7,17.4
FIRST SEACOAST BANCORP INC,FSEA,1.0,12.72,12.72
FISCALNOTE HOLDINGS INC CL A,NOTE,65.0,0.24,15.6
FLUENCE ENERGY INC CL A,FLNC,3.0,14.15,42.45
FLUTTER ENTERTAINMENT PLC,FLUT,1.0,100.5,100.5
FOMENTO ECON MEX S A B SPON ADR REP UNIT 1 SER B & 2 SER DB & 2 SER DL,FMX,1.074,107.57,115.53018
FORD MOTOR CO,F,19.069000000000003,11.37,216.81453000000002
FORTUNE BRANDS INNOVATIONS INC,FBIN,1.006,38.17,38.39902
FOX CORP CL A,FOXA,1.0,59.11,59.11
FOX CORP CL B,FOX,2.02,53.38,107.8276
FRANKLIN BITCOIN ETF,EZBC,3.0,38.15,114.44999999999999
FRANKLIN ELECTRIC CO INC,FELE,1.0,90.45,90.45
FRANKLIN ETHEREUM ETF,EZET,3.0,15.09,45.269999999999996
FRANKLIN FTSE ASIA EX JAPAN ETF,FLAX,2.0,29.84,59.68
FRANKLIN FTSE BRAZIL ETF,FLBR,2.023,22.76,46.04348000000001
FRANKLIN FTSE INDIA ETF,FLIN,1.0,32.65,32.65
FRANKLIN FTSE MEXICO ETF,FLMX,1.0,35.2644,35.2644
FRANKLIN FTSE SOUTH KOREA ETF,FLKR,1.0,39.29,39.29
FRANKLIN INTELLIGENT MACHINES ETF,IQM,1.0,86.96,86.96
FRANKLIN LATIN AMERICA ETF,FLLA,1.0,26.99,26.99
FRANKLIN RESOURCES INC,BEN,17.598,22.75,400.3545
FRANKLIN SAUDI ARABIA ETF,FLSA,2.0,32.7365,65.473
FRANKLIN SOLANA ETF,SOEZ,5.0,14.27,71.35
FRANKLIN XRP ETF,XRPZ,6.0,14.38,86.28
FREEPORT MCMORAN INC,FCX,1.0,56.24,56.24
FS KKR CAPITAL CORP,FSK,25.0,9.91,247.75
FUBOTV INC,FUBO,5.0,9.28,46.4
FULL TRUCK ALLIANCE CO LTD SPON ADS,YMM,28.0,8.07,225.96
G-III APPAREL GROUP LTD,GIII,2.0,26.55,53.1
GAIA INC CL A,GAIA,50.0,2.73,136.5
GAMESTOP CORP CL A,GME,2.0,22.1,44.2
GAP INC,GAP,2.259,24.74,55.88766
GARMIN LTD,GRMN,1.026,230.16,236.14416
GE AEROSPACE,GE,1.003,282.81,283.65842999999995
GEMINI SPACE STATION INC CL A,GEMI,7.0,4.11,28.770000000000003
GEN DIGITAL INC,GEN,1.0,18.34,18.34
GENCO SHIPPING & TRADING LTD SHS PAR $0.01,GNK,2.075,22.34,46.355500000000006
GENERAL DYNAMICS CORP,GD,1.013,346.76,351.26787999999993
GENERAL MILLS INC,GIS,1.039,36.45,37.87155
GENERAL MOTORS CO,GM,1.002,72.98,73.12596
GENESIS ENERGY LTD PARTNERSHIP,GEL,1.0,17.78,17.78
GENIE ENERGY LTD CL B,GNE,17.685000000000002,13.77,243.52245000000002
GERON CORP,GERN,100.0,1.4,140.0
GETTY REALTY CORP ,GTY,7.0,31.75,222.25
GILDAN ACTIVEWEAR INC,GIL,3.0,54.43,163.29
GLOBAL E ONLINE LTD,GLBE,1.0,28.93,28.93
GLOBAL PAYMENTS INC,GPN,6.0,65.9,395.40000000000003
GLOBAL SHIP LEASE INC CL A,GSL,3.107,36.65,113.87155
GLOBAL X BRAZIL ACTIVE ETF,BRAZ,1.0,31.1287,31.1287
GLOBALFOUNDRIES INC,GFS,1.0,42.94,42.94
GOLD RESOURCE CORP,GORO,30.0,1.16,34.8
GOLDMAN SACHS GROUP INC,GS,1.0,802.89,802.89
GOODYEAR TIRE & RUBBER CO,GT,60.0,6.44,386.40000000000003
GOPRO INC CL A,GPRO,300.0,0.64,192.0
GRAIL INC,GRAL,1.0,48.49,48.49
GRANITE POINT MORTGAGE  TRUST INC,GPMT,59.0,1.4,82.6
GRAY MEDIA INC,GTN,20.327,4.58,93.09766
GREYSTON HOUSING IMPACT INVESTMENTS LP BEN UNIT CTF NEW,GHI,25.0,4.91,122.75
GROUPON INC,GRPN,5.0,10.47,52.35
GRUPO AEROPORTUARIO DEL CENTRO NORTE S A B DE C V SPON ADR,OMAB,1.0,113.84,113.84
GRUPO FINANCIERO GALICIA S A SPON ADR REPSTG 10 SHS CL B,GGAL,1.0,42.7,42.7
HAIN CELESTIAL GROUP INC,HAIN,460.0,0.6158,283.26800000000003
HANCOCK JOHN PREM DIV FUND,PDT,1.0,12.77,12.77
HARMONIC INC,HLIT,5.0,9.38,46.900000000000006
HASBRO INC,HAS,2.036,88.59,180.36924000000002
HDFC BANK LTD ADR REPSTG 3 SHS,HDB,2.0,24.35,48.7
HEARTFLOW INC,HTFL,1.0,24.69,24.69
HEIDMAR MARITIME HOLDINGS CORP,HMR,121.0,0.8333,100.8293
HERBALIFE LTD USD,HLF,3.0,14.41,43.230000000000004
HERZFELD CREDIT INCOME FD INC,HERZ,10.0,15.5,155.0
HF SINCLAIR CORP,DINO,1.043,63.74,66.48082
HILTON WORLDWIDE HOLDINGS INC,HLT,1.0,294.04,294.04
HIMS & HERS HEALTH INC,HIMS,1.0,19.38,19.38
HIVE DIGITAL TECHOLOGIES LTD,HIVE,25.0,1.82,45.5
HONDA MOTOR LTD ADR REPSTG 3 ORD,HMC,2.019,24.34,49.14246
HONEYWELL INTL INC,HON,1.071,223.12,238.96152
HOPE BANCORP INC,HOPE,1.012,10.92,11.05104
HORMEL FOODS CORP,HRL,1.036,23.07,23.90052
HOYNE BANCORP INC,HYNE,1.0,14.385,14.385
HP INC,HPQ,5.0,19.44,97.2
HSBC HOLDINGS PLC SPON ADR,HSBC,1.0,79.19,79.19
HUB GROUP INC CL A,HUBG,2.008,35.38,71.04304
HURON CONSULTING GROUP INC,HURN,1.0,122.64,122.64
HUT 8 CORP,HUT,1.0,47.405,47.405
HUTCHMED LTD SPON ADR,HCM,5.0,13.81,69.05
HYATT HOTELS CORP CL A,H,1.0,142.31,142.31
HYCROFT MINING HOLDING CORP CL A,HYMC,1.0,33.05,33.05
IAC INC,IAC,1.0,38.85,38.85
IBIO INC PAR $0.001,IBIO,6.0,1.76,10.56
ICICI BANK LIMITED SPONSORED ADR,IBN,1.0,25.3,25.3
ICON ENERGY CORP PAR$0.001,ICON,25.0,0.8405,21.0125
IHEARTMEDIA INC CL A,IHRT,10.0,2.8,28.0
ILLUMINA INC,ILMN,1.0,117.67,117.67
IMAX CORP,IMAX,1.0,36.55,36.55
IMMUNITYBIO INC,IBRX,5.0,7.38,36.9
INFLEQTION INC,INFQ,10.0,9.85,98.5
INFOSYS LTD SPONS ADR REPSTG 1 EQUITY SH,INFY,7.0,12.83,89.81
INNOVATIVE INDUSTRIAL  PROPERTIES INC CL A,IIPR,16.038,50.95,817.1361
INSEEGO CORP,INSG,2.0,11.42,22.84
INTAPP INC,INTA,2.0,24.68,49.36
INTEL CORP,INTC,4.0,43.13,172.52
INTERCONTINENTAL EXCHANGE INC,ICE,2.006,152.67,306.2560199999999
INTERPARFUMS INC,IPAR,2.0,90.53,181.06
INTL BUSINESS MACHINES CORP,IBM,1.0,236.34,236.34
INTL FLAVOR & FRAGRANCES,IFF,4.285,71.01,304.27785000000006
INTL PAPER COMPANY,IP,5.225,35.45,185.22625
INTUITIVE MACHINES INC CL A,LUNR,1.0,17.52,17.52
IONQ INC,IONQ,13.0,27.51,357.63
IPG PHOTONICS CORP,IPGP,1.0,115.7,115.7
IREN LTD,IREN,2.0,35.09,70.18
ISHARES BITCOIN TRUST ETF,IBIT,2.0,37.4,74.8
ISHARES GLOBAL REIT ETF,REET,1.005,24.7,24.823499999999996
ISHARES TR TOP 20 U S STOCKS ETF,TOPT,3.0029999999999997,27.75,83.33324999999999
ISHARES TRUST MSCI QATAR ETF,QAT,5.0,18.1614,90.807
ISHARES TRUST MSCI UAE ETF,UAE,5.0,17.8,89.0
JACK IN THE BOX INC,JACK,1.0,9.7,9.7
JAMES HARDIE INDUSTRIES PLC,JHX,1.0,18.02,18.02
JD.COM INC SPON ADR REPSTG COM CL A,JD,1.0,28.7,28.7
JEFFERIES FINANCIAL GROUP INC,JEF,1.009,39.85,40.20865
JETBLUE AIRWAYS CORP,JBLU,5.0,4.22,21.099999999999998
JFROG LTD,FROG,7.0,43.335,303.345
JOBY AVIATION INC,JOBY,5.0,8.1,40.5
JOHN MARSHALL BANCORP INC,JMSB,1.0,20.05,20.05
JPMORGAN CHASE & CO,JPM,1.0,282.84,282.84
JUMIA TECHNOLOGIES AG,JMIA,3.0,6.67,20.009999999999998
KANZHUN LTD SPON ADS,BZ,1.0,13.13,13.13
KE HOLDINGS INC ADS REPSTG CL A ORD,BEKE,6.0,15.32,91.92
KELLY SERVICES INC CL A,KELYA,2.017,8.78,17.709259999999997
KELLY SERVICES INC CL B,KELYB,2.0,12.7,25.4
KENNEDY-WILSON HOLDINGS INC,KW,1.0,10.93,10.93
KENVUE INC,KVUE,2.178,17.52,38.15856
KEURIG DR PEPPER INC,KDP,2.032,26.23,53.29936
KEYCORP,KEY,6.055,19.45,117.76974999999999
KEYSIGHT TECHNOLOGIES INC,KEYS,2.0,279.06,558.12
KIMBERLY CLARK CORP,KMB,3.392,98.66,334.65472
KIMCO REALTY CORP ,KIM,52.181,22.22,1159.46182
KINGSOFT CLOUD HOLDINGS LTD ADS REPSTG ORD SHS,KC,20.0,13.59,271.8
KITE REALTY GROUP  TRUST,KRG,16.018,24.15,386.8347
KKR & CO INC,KKR,4.004,88.5,354.354
KLARNA GROUP PLC,KLAR,5.0,12.27,61.349999999999994
KONINKLIJKE PHILIPS N V SPON ADR,PHG,1.0,26.78,26.78
KONTOOR BRANDS INC,KTB,2.016,66.43,133.92288000000002
KRATOS DEFENSE & SECURITY SOLUTIONS INC,KTOS,3.0,71.94,215.82
KROGER CO,KR,1.005,73.22,73.58609999999999
KT CORP SPON ADR,KT,6.088,21.53,131.07464000000002
KYIVSTAR GROUP LTD,KYIV,25.0,10.05,251.25000000000003
KYNDRYL HOLDINGS INC,KD,5.0,12.36,61.8
L3HARRIS TECHNOLOGIES INC,LHX,1.017,343.0,348.83099999999996
LAZARD INC,LAZ,3.02,39.11,118.1122
LEE ENTERPRISES INC,LEE,22.0,8.5,187.0
LEGALZOOM.COM INC,LZ,25.0,5.48,137.0
LEGENCE CORP CL A,LGN,1.0,54.75,54.75
LI AUTO INC SPON ADS,LI,6.0,17.46,104.76
