Investment Name,Symbol,Shares,Share Price,Total Value
VANGUARD ENERGY ETF,VDE,0.5023,176.95,88.88198499999999
VANGUARD FEDERAL MONEY MARKET FUND,VMFXX,11.02,1.0,11.02
VANGUARD INFORMATION TECHNOLOGY ETF,VGT,0.19929999999999998,681.0,135.7233
VANGUARD MATERIALS ETF,VAW,1.1625,219.76,255.471
VANGUARD REAL ESTATE INDEX ETF,VNQ,1.3859,87.0,120.57329999999999
VANGUARD S&P 500 INDEX ETF,VOO,0.0657,582.96,38.300472
VANGUARD TOTAL WORLD STOCK ETF,VT,1.368,134.62,184.16016000000002
VELO3D INC PAR $0.00001,VELO,1.0,9.0,9.0
VELOCITY FINANCIAL INC,VEL,5.0,17.81,89.05
VENHUB GLOBAL INC,VHUB,150.0,0.63,94.5
VEON LTD SPON ADR,VEON,2.0,46.47,92.94
VERALTO CORP,VLTO,3.016,85.03,256.45048
VERITONE INC,VERI,15.0,1.84,27.6
VERIZON COMMUNICATIONS INC,VZ,1.0,50.31,50.31
VERSANT MEDIA GROUP INC CL A,VSNT,3.0,35.43,106.28999999999999
VICTORIAS SECRET & CO,VSCO,14.0,42.47,594.5799999999999
VIPSHOP HOLDINGS INC ADR,VIPS,5.0,16.11,80.55
VIRGIN GALACTIC HOLDINGS INC,SPCE,13.0,2.26,29.379999999999995
VIVOS THERAPEUTICS INC,VVOS,25.0,1.15,28.749999999999996
VODAFONE GROUP PLC NEW SPON ADR NO PAR,VOD,1.0,14.49,14.49
VSE CORP,VSEC,1.0,170.89,170.89
VUZIX CORP,VUZI,25.0,2.17,54.25
WABTEC,WAB,1.004,241.11,242.07444
WALKER & DUNLOP INC,WD,3.085,43.05,132.80925
WALT DISNEY CO,DIS,7.028,92.42,649.52776
WARNER BROS DISCOVERY INC SER A,WBD,2.0,27.07,54.14
WARNER MUSIC GROUP CORP CL A,WMG,7.041,23.77,167.36457000000001
WASTE MANAGEMENT INC DEL,WM,2.035,225.06,457.99710000000005
WD 40 CO,WDFC,1.014,201.21,204.02694000000002
WEALTHFRONT CORP,WLTH,6.0,8.81,52.86
WEBSTER FINANCIAL CORP WATERBURY CT,WBS,10.318999999999999,68.07,702.4143299999998
WEBTOON ENTERTAINMENT INC,WBTN,11.0,9.12,100.32
WELLS FARGO & CO,WFC,2.033,77.19,156.92727
WENDYS CO,WEN,5.098,6.8,34.666399999999996
WERIDE INC ADS,WRD,25.0,6.955,173.875
WESTERN DIGITAL CORP,WDC,1.0,275.34,275.34
WESTLAKE CHEMICAL PARTNERS REPSTG LP INTEREST,WLKP,2.044,21.71,44.375240000000005
WHITEHORSE FINANCE INC,WHF,19.0,7.14,135.66
WILEY JOHN & SONS CL A,WLY,6.1690000000000005,37.62,232.07778
WIPRO LTD SPON ADR REPSTG 1 SH,WIT,25.0,2.08,52.0
WISDOMTREE QUANTUM COMPUTING FD ETF,WQTM,1.0,24.13,24.13
WM TECHNOLOGY INC CL A,MAPS,923.0,0.6083,561.4608999999999
WOLVERINE WORLD WIDE INC,WWW,32.077,15.78,506.17506
WPP PLC ADR,WPP,5.0,15.33,76.65
WW INTL INC,WW,1.0,14.225,14.225
WYNDHAM HOTELS & RESORTS INC,WH,1.0,79.43,79.43
XEROX HOLDINGS CORP,XRX,1069.131,1.3999999999999997,1496.7833999999998
XEROX HOLDINGS CORP WTS EXP 02/14/28,XRXDW,6449.0,0.1002,646.1898
XOMETRY INC CL A,XMTR,10.0,37.64,376.4
XPENG INC ADS REPSTG CL A ORD SHS,XPEV,1.0,16.93,16.93
XPERI INC,XPER,25.0,5.53,138.25
YELP INC CL A,YELP,5.0,24.36,121.8
YORK SPACE SYSTEMS INC,YSS,1.0,21.66,21.66
YUM BRANDS INC,YUM,1.069,153.96,164.58324
YUM CHINA HOLDINGS INC,YUMC,1.023,49.59,50.73057
ZEBRA TECHNOLOGIES CORP CL A,ZBRA,1.0,202.64,202.64
ZETA GLOBAL HOLDINGS CORP CL A,ZETA,2.0,14.55,29.1
ZIM INTEGRATED SHIPPING SERVICES LTD,ZIM,15.815,26.19,414.19485000000003
ZSCALER INC,ZS,1.0,133.16,133.16
ZTO EXPRESS CAYMAN INC SPON ADR REPSTG ORD CL A,ZTO,2.0,24.06,48.12
